Candidate,Candidate Timestamp,Matched Original Timestamp,Hamming Distance (64-bit),Similarity %,Robust Match (<0.15),Temporal Mapping,Candidate pHash,Original pHash
AI Manipulated,01:11.00,01:01.00,2,96.88,YES,Forward jump,ed965a1b87c85938,ed965a3b87c85918
AI Manipulated,01:12.00,01:19.00,2,96.88,YES,Forward jump,dff961c09ae16582,dff961c09ae12592
AI Manipulated,01:13.00,01:20.00,0,100.00,YES,Sequential,def865c29ae16582,def865c29ae16582
AI Manipulated,01:14.00,01:20.00,0,100.00,YES,Sequential,def865c29ae16582,def865c29ae16582
AI Manipulated,01:15.00,01:17.00,2,96.88,YES,Backward jump,dffc6092886cb293,defc6192886cb293
AI Manipulated,01:16.00,01:17.00,2,96.88,YES,Sequential,defc6092896cb293,defc6192886cb293
AI Manipulated,01:17.00,01:17.00,0,100.00,YES,Sequential,defc6192886cb293,defc6192886cb293
Pirated AI 4,00:00.00,00:00.00,2,96.88,YES,Start,cf8d3988c6323367,cf8d3988c7323363
Pirated AI 4,00:01.00,00:01.00,0,100.00,YES,Sequential,cf0d39cac6303367,cf0d39cac6303367
Pirated AI 4,00:02.00,00:01.00,0,100.00,YES,Sequential,cf0d39cac6303367,cf0d39cac6303367
Pirated AI 4,00:03.00,00:01.00,0,100.00,YES,Sequential,cf0d39cac6303367,cf0d39cac6303367
Pirated AI 4,00:04.00,00:04.00,0,100.00,YES,Forward jump,e79c994996633aa4,e79c994996633aa4
Pirated AI 4,00:05.00,00:04.00,0,100.00,YES,Sequential,e79c994996633aa4,e79c994996633aa4
Pirated AI 4,00:06.00,00:06.00,4,93.75,YES,Sequential,ef947a1b85c85338,ef965a1b85c85358
Pirated AI 4,00:07.00,00:15.00,4,93.75,YES,Forward jump,e7943a1b85c85b78,ef945a1b85c85b58
Pirated AI 4,00:08.00,00:14.00,4,93.75,YES,Backward jump,ef943a9b85c95158,e7967a1b85c95158
Pirated AI 4,00:09.00,00:11.00,4,93.75,YES,Backward jump,9ea3b692e3c94643,9ea3b692e2c962c3
Pirated AI 4,00:10.00,00:12.00,6,90.62,YES,Sequential,9ce5b4b2e6cb6043,94a5b4d2e6cb62c3
Pirated AI 4,00:11.00,00:13.00,2,96.88,YES,Sequential,9ea1b1d2e6c962c3,9ea1b1f2e2c962c3
Pirated AI 4,00:12.00,00:10.00,6,90.62,YES,Backward jump,efb4729aa5c85158,efa4329aa5cb4159
Pirated AI 4,00:13.00,00:09.00,2,96.88,YES,Backward jump,e7967a1b85c85958,ef965a1b85c85958
Pirated AI 4,00:14.00,00:21.00,2,96.88,YES,Forward jump,ca3425cb187d07be,ca342dcb187d079e
Pirated AI 4,00:15.00,00:21.00,4,93.75,YES,Sequential,ca3c25cb187c07be,ca342dcb187d079e
Pirated AI 4,00:16.00,00:21.00,6,90.62,YES,Sequential,ca3c25cb187807fe,ca342dcb187d079e
Pirated AI 4,00:17.00,00:47.00,20,68.75,NO,Forward jump,b4c1cf3b0e8c7398,ed965a3b87c85318
Pirated AI 4,00:18.00,00:47.00,20,68.75,NO,Sequential,bcc1cb3b0ccc339a,ed965a3b87c85318
Pirated AI 4,00:19.00,00:47.00,22,65.62,NO,Sequential,bcc1cb7b8ccc238a,ed965a3b87c85318
Pirated AI 4,00:20.00,00:13.00,22,65.62,NO,Backward jump,bcc1c9738cce23ca,9ea1b1f2e2c962c3
Pirated AI 4,00:21.00,00:13.00,22,65.62,NO,Sequential,bec1c0738ec6a3ca,9ea1b1f2e2c962c3
Pirated AI 4,00:22.00,00:11.00,24,62.50,NO,Backward jump,bec1c2338ec6a3c6,9ea3b692e2c962c3
Pirated AI 4,00:23.00,00:28.00,4,93.75,YES,Forward jump,ed963a1b85c85b38,ed967a1b85c85958
Pirated AI 4,00:24.00,00:31.00,2,96.88,YES,Forward jump,ed9c3a1b87c85338,ed9c3a3b87c85318
Pirated AI 4,00:25.00,00:41.00,2,96.88,YES,Forward jump,ed963a1b87c85338,ed963a3b87c85318
Pirated AI 4,00:26.00,00:33.00,8,87.50,YES,Backward jump,d3b40c56afcc2873,d3100c562fdc28ff
Pirated AI 4,00:27.00,00:34.00,4,93.75,YES,Sequential,c3028c7708dcaaff,c3528c7708dca87f
Pirated AI 4,00:28.00,00:35.00,10,84.38,NO,Sequential,c3f40c7789dc7a12,c3d41c5f8dcc5b30
Pirated AI 4,00:29.00,01:02.00,0,100.00,YES,Forward jump,ed961a3b85ca5938,ed961a3b85ca5938
Pirated AI 4,00:30.00,00:17.00,2,96.88,YES,Backward jump,e5967b1b85c85958,e7965b1b85c85958
Pirated AI 4,00:31.00,00:28.00,2,96.88,YES,Forward jump,e5967a1b85c85978,ed967a1b85c85958
Pirated AI 4,00:32.00,00:36.00,4,93.75,YES,Forward jump,ed965a3b85c15938,ed965a3b85ca5918
Pirated AI 4,00:33.00,00:28.00,4,93.75,YES,Backward jump,ed967a1b85c25938,ed967a1b85c85958
Pirated AI 4,00:34.00,00:28.00,4,93.75,YES,Sequential,ed963a1b87c85938,ed967a1b85c85958
Pirated AI 4,00:35.00,00:31.00,4,93.75,YES,Forward jump,ed9e3a1b87c85330,ed9c3a3b87c85318
Pirated AI 4,00:36.00,00:31.00,4,93.75,YES,Sequential,ed9c3a1b87c85331,ed9c3a3b87c85318
Pirated AI 4,00:37.00,00:44.00,2,96.88,YES,Forward jump,ed961a3b85c85339,ed961a3b85ca5319
Pirated AI 4,00:38.00,00:36.00,2,96.88,YES,Backward jump,ed965a3b85c85938,ed965a3b85ca5918
Pirated AI 4,00:39.00,00:28.00,4,93.75,YES,Backward jump,ed963a1b85c85939,ed967a1b85c85958
Pirated AI 4,00:40.00,00:41.00,2,96.88,YES,Forward jump,ed963a1b87c85338,ed963a3b87c85318
Pirated AI 4,00:41.00,00:41.00,2,96.88,YES,Sequential,ed963a1b87c85338,ed963a3b87c85318
Pirated AI 4,00:42.00,00:41.00,2,96.88,YES,Sequential,ed963a1b87c85338,ed963a3b87c85318
Pirated AI 4,00:43.00,00:41.00,2,96.88,YES,Sequential,ed963a1b87c85338,ed963a3b87c85318
Pirated AI 4,00:44.00,00:50.00,2,96.88,YES,Forward jump,ed967a3b85c85138,ed965a3b85c85338
Pirated AI 4,00:45.00,00:53.00,2,96.88,YES,Forward jump,ed963a3b85c85139,ed963a3b85c85319
Pirated AI 4,00:46.00,00:31.00,4,93.75,YES,Backward jump,ed9c3a1b85c85339,ed9c3a3b87c85318
Pirated AI 4,00:47.00,00:31.00,2,96.88,YES,Sequential,ed9c3a1b87c85338,ed9c3a3b87c85318
Pirated AI 4,00:48.00,00:31.00,2,96.88,YES,Sequential,ed9c3a1b87c85338,ed9c3a3b87c85318
Pirated AI 4,00:49.00,00:31.00,4,93.75,YES,Sequential,ed9c3a1b87c85139,ed9c3a3b87c85318
Pirated AI 4,00:50.00,00:31.00,2,96.88,YES,Sequential,ed9c3a1b87c85338,ed9c3a3b87c85318
Pirated AI 4,00:51.00,00:31.00,2,96.88,YES,Sequential,ed9c3a3b87c85330,ed9c3a3b87c85318
Pirated AI 4,00:52.00,00:31.00,2,96.88,YES,Sequential,ed9c3a1b87c85338,ed9c3a3b87c85318
Pirated AI 4,00:53.00,00:31.00,4,93.75,YES,Sequential,ed9e3a1b87c85138,ed9c3a3b87c85318
Pirated AI 4,00:54.00,00:17.00,2,96.88,YES,Backward jump,e5967b1b85c85958,e7965b1b85c85958
Pirated AI 4,00:55.00,00:31.00,2,96.88,YES,Forward jump,ed9c3a3b87c85138,ed9c3a3b87c85318
Pirated AI 4,00:56.00,00:41.00,4,93.75,YES,Forward jump,ed963a1b87c85139,ed963a3b87c85318
Pirated AI 4,00:57.00,00:31.00,2,96.88,YES,Backward jump,ed9c3a3b87c85330,ed9c3a3b87c85318
Pirated AI 4,00:58.00,00:31.00,2,96.88,YES,Sequential,ed9c3a1b87c85338,ed9c3a3b87c85318
Pirated AI 4,00:59.00,00:31.00,2,96.88,YES,Sequential,ed9c3a1b87c85338,ed9c3a3b87c85318
Pirated AI 4,01:00.00,00:58.00,4,93.75,YES,Forward jump,ed9c1e3b87ca5230,ed9c1a3b87c85338
Pirated AI 4,01:01.00,00:31.00,2,96.88,YES,Backward jump,ed9c3a1b87c85338,ed9c3a3b87c85318
Pirated AI 4,01:02.00,00:44.00,4,93.75,YES,Forward jump,e9961a3b85ca5b31,ed961a3b85ca5319
Pirated AI 4,01:03.00,00:28.00,2,96.88,YES,Backward jump,ed967a1b85c85938,ed967a1b85c85958
Pirated AI 4,01:04.00,00:31.00,2,96.88,YES,Forward jump,ed9c3a3b87c85138,ed9c3a3b87c85318
Pirated AI 4,01:05.00,00:28.00,4,93.75,YES,Backward jump,ed963a1b87c85938,ed967a1b85c85958
Pirated AI 4,01:06.00,00:28.00,4,93.75,YES,Sequential,e5967a1b85c85939,ed967a1b85c85958
Pirated AI 4,01:07.00,00:30.00,4,93.75,YES,Sequential,ed9e3a1b85c85338,ed963a3b85ca5318
Pirated AI 4,01:08.00,00:53.00,4,93.75,YES,Forward jump,ed9e3a1b85c85139,ed963a3b85c85319
Pirated AI 4,01:09.00,00:09.00,6,90.62,YES,Backward jump,ef961b1b87c05938,ef965a1b85c85958
Pirated AI 4,01:10.00,01:20.00,2,96.88,YES,Forward jump,def861c29ae16592,def865c29ae16582
Pirated AI 4,01:11.00,01:20.00,0,100.00,YES,Sequential,def865c29ae16582,def865c29ae16582
Pirated AI 4,01:12.00,01:20.00,0,100.00,YES,Sequential,def865c29ae16582,def865c29ae16582
Pirated AI 4,01:13.00,01:17.00,2,96.88,YES,Backward jump,defc6092896cb293,defc6192886cb293
Pirated AI 4,01:14.00,01:17.00,2,96.88,YES,Sequential,defc6092896cb293,defc6192886cb293
